title,url,platform,content_type
Dhurandhar: The Revenge,https://www.justwatch.com/in/movie/dhurandhar-the-revenge,JioHotstar,movie
Trikala: Script of God,https://www.justwatch.com/in/movie/trikala-script-of-god,JioHotstar,movie
Dhurandhar,https://www.justwatch.com/in/movie/dhurandhar-2025,JioHotstar,movie
Dridam,https://www.justwatch.com/in/movie/dridam,JioHotstar,movie
Mollywood Times,https://www.justwatch.com/in/movie/mollywood-times,JioHotstar,movie
Evil Dead Rise,https://www.justwatch.com/in/movie/evil-dead-rise,JioHotstar,movie
Spider-Man: No Way Home,https://www.justwatch.com/in/movie/spider-man-no-way-home,JioHotstar,movie
Avatar: Fire and Ash,https://www.justwatch.com/in/movie/avatar-3,JioHotstar,movie
Send Help,https://www.justwatch.com/in/movie/send-help,JioHotstar,movie
Fifty Shades of Grey,https://www.justwatch.com/in/movie/fifty-shades-of-grey,JioHotstar,movie
How to Have Sex,https://www.justwatch.com/in/movie/how-to-have-sex,JioHotstar,movie
Tell Me What You Want,https://www.justwatch.com/in/movie/pideme-lo-que-quieras,JioHotstar,movie
Together,https://www.justwatch.com/in/movie/together-2025,JioHotstar,movie
Ugly story,https://www.justwatch.com/in/movie/ugly-story,JioHotstar,movie
Sambhavam Adhyayam Onnu,https://www.justwatch.com/in/movie/sambhavam-adhyayam-onnu,JioHotstar,movie
Shiddat,https://www.justwatch.com/in/movie/shiddat-2021,JioHotstar,movie
Hoppers,https://www.justwatch.com/in/movie/hoppers,JioHotstar,movie
The Wolf of Wall Street,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,JioHotstar,movie
Interstellar,https://www.justwatch.com/in/movie/interstellar,JioHotstar,movie
Companion,https://www.justwatch.com/in/movie/companion-2025,JioHotstar,movie
Dangal,https://www.justwatch.com/in/movie/dangal,JioHotstar,movie
Harry Potter and the Philosopher's Stone,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,JioHotstar,movie
Love Sonia,https://www.justwatch.com/in/movie/love-sonia,JioHotstar,movie
