genre_list,Amazon Prime Video,JioCinema,JioHotstar,SonyLIV,Overall
Drama,16.91136487221316,15.7752566180443,15.7752566180443,13.145315487571702,15.32818026988078
Action & Adventure,8.809135399673735,8.26580226904376,8.26580226904376,9.225621414913958,8.659766802043757
Mystery & Thriller,9.189777052746058,8.211777417612101,8.211777417612101,5.688336520076482,7.755797196384122
Comedy,7.449700924415444,7.023230686115613,7.023230686115613,9.225621414913958,7.72959517882877
Science-Fiction,5.927134312126156,5.618584548892491,5.618584548892491,7.170172084130019,6.118171099174637
Crime,5.057096247960848,6.0507833603457595,6.0507833603457595,3.107074569789675,5.004585353072186
Romance,5.383360522022838,4.321988114532685,4.321988114532685,5.544933078393881,4.912878291628455
Fantasy,3.6976617727025554,4.1058887088060505,4.1058887088060505,6.453154875717017,4.650858116074938
Animation,3.2082653616095707,1.6747703943814154,1.6747703943814154,9.225621414913958,4.113716756190226
Bollywood,3.4801522566612286,3.349540788762831,3.349540788762831,3.0592734225621414,3.301454211974322
